('冒菜', 26868,0.00789255)
('煎饼', 18405,0.00540652)
('沙拉', 61783,0.01814894)
('肠粉', 7616,0.00223722)
('江浙菜', 46724,0.01372531)
('羊杂割', 2155,0.00063304)
('药店', 14888,0.00437339)
('葱油饼', 1037,0.00030462)
('台湾菜', 304,0.00008930)
('徽菜', 857,0.00025175)
('淮扬菜', 74,0.00002174)
('川湘菜', 154788,0.04546943)
('韩国炸鸡', 22391,0.00657742)
('鸡架', 13105,0.00384963)
('米粉米线', 110902,0.03257779)
('锅贴', 5933,0.00174284)
('牛肉汤', 7796,0.00229010)
('东北菜', 81988,0.02408422)
('创意菜', 5310,0.00155983)
('日本料理', 11640,0.00341928)
('新疆菜', 18887,0.00554811)
('西班牙菜', 727,0.00021356)
('羊蝎子', 771,0.00022648)
('煲仔饭', 6496,0.00190822)
('热干面', 6911,0.00203013)
('水站', 10616,0.00311848)
('钵钵鸡', 2201,0.00064655)
('韩国料理', 14257,0.00418804)
('黄焖鸡米饭', 36156,0.01062093)
('面馆', 73559,0.02160817)
('烤鱼', 3932,0.00115504)
('粤菜', 59159,0.01737813)
('其他菜系', 35292,0.01036713)
('海鲜', 2189,0.00064303)
('意面', 500,0.00014688)
('中亚/中东菜', 207,0.00006081)
('日式简餐', 29739,0.00873592)
('汉堡薯条', 149904,0.04403474)
('炒饭', 54832,0.01610706)
('其他西餐', 44117,0.01295950)
('干锅', 152,0.00004465)
('果切', 9113,0.00267697)
('烤鸭熟食', 2356,0.00069208)
('江西菜', 8868,0.00260500)
('冰淇淋', 110,0.00003231)
('三明治', 882,0.00025909)
('盖浇饭', 224030,0.06580948)
('烤肉拌饭', 31677,0.00930521)
('鸡公煲', 10614,0.00311789)
('烧腊饭', 3010,0.00088420)
('中西糕点', 1000,0.00029375)
('鲁菜', 8585,0.00252187)
('韩式简餐', 44136,0.01296508)
('鲜花', 711,0.00020886)
('馄饨抄手', 7734,0.00227189)
('酸辣粉', 1101,0.00032342)
('清真菜', 995,0.00029228)
('越南菜', 2620,0.00076963)
('羊肉汤', 2086,0.00061277)
('炸鸡炸串', 95275,0.02798731)
('粥店', 145818,0.04283447)
('串串香', 8965,0.00263350)
('饺子', 49358,0.01449906)
('木桶饭', 5095,0.00149667)
('砂锅', 1411,0.00041449)
('豆浆油条', 4581,0.00134568)
('兰州拉面', 8361,0.00245607)
('小龙虾', 17811,0.00523203)
('泰国菜', 2183,0.00064126)
('私房菜', 1174,0.00034487)
('章鱼小丸子', 2723,0.00079989)
('麻辣香锅', 64670,0.01899700)
('沙县小吃', 10424,0.00306208)
('烧饼', 8751,0.00257063)
('重庆小面', 4521,0.00132806)
('云南菜', 11876,0.00348861)
('西北菜', 15208,0.00446740)
('陕西菜', 382,0.00011221)
('驴肉火烧', 19167,0.00563036)
('蛋糕', 6404,0.00188119)
('水果店', 56594,0.01662466)
('美妆个护', 505,0.00014835)
('河南菜', 3300,0.00096938)
('瓦罐汤', 5942,0.00174548)
('粉丝汤', 7698,0.00226131)
('烧烤', 99393,0.02919699)
('包子汤包', 21645,0.00635828)
('小火锅', 5212,0.00153104)
('其他香锅火锅', 30362,0.00891893)
('咖啡', 7873,0.00231272)
('卤味鸭脖', 6112,0.00179542)
('水果捞', 3009,0.00088390)
('焗饭', 3135,0.00092092)
('其他快餐', 510048,0.14982811)
('生煎', 21086,0.00619407)
('凉皮', 10226,0.00300392)
('其他小吃', 43893,0.01289370)
('素食', 152,0.00004465)
('牛排', 677,0.00019887)
('其他甜品饮品', 1263,0.00037101)
('休闲零食', 1044,0.00030668)
('绿植', 1752,0.00051466)
('胡辣汤', 728,0.00021385)
('卤煮火烧', 616,0.00018095)
('意大利菜', 598,0.00017566)
('奶茶果汁', 81769,0.02401989)
('螺蛳粉', 10601,0.00311408)
('肉夹馍', 19627,0.00576549)
('烤冷面', 3692,0.00108454)
('新加坡菜', 2096,0.00061571)
('牛肉饭', 1634,0.00047999)
('排骨饭', 24564,0.00721575)
('茶餐厅', 2776,0.00081546)
('贵州菜', 672,0.00019740)
('面包', 4404,0.00129369)
('社区生鲜店', 4552,0.00133716)
('日用百货', 162,0.00004759)
('海鲜水产', 12327,0.00362109)
('蒸鸡滋补鸡', 3405,0.00100023)
('焖锅', 1139,0.00033458)
('名酒坊', 233,0.00006844)
('麻辣烫', 127296,0.03739358)
('披萨', 38537,0.01132036)
('北京菜', 61833,0.01816363)
('花甲', 3918,0.00115092)
('韩式烤肉', 7910,0.00232359)
('咖喱饭', 3135,0.00092092)
('甜品', 17909,0.00526082)
('大型超市', 95423,0.02803079)
('便利店', 32995,0.00969238)
('刺身寿司', 5613,0.00164884)
('滋补炖汤', 4182,0.00122847)
