('冒菜', 169705,0.07172751)
('沙拉', 44649,0.01887135)
('江浙菜', 6279,0.00265388)
('煎饼', 2273,0.00096071)
('葱油饼', 475,0.00020076)
('肠粉', 6573,0.00277814)
('药店', 7725,0.00326505)
('川湘菜', 386862,0.16351109)
('米粉米线', 112253,0.04744485)
('韩国炸鸡', 33326,0.01408557)
('新疆菜', 4783,0.00202158)
('老妈兔头', 2642,0.00111667)
('鸡架', 3683,0.00155666)
('钵钵鸡', 14965,0.00632511)
('煲仔饭', 5567,0.00235295)
('牛肉汤', 9090,0.00384198)
('东北菜', 492,0.00020795)
('日本料理', 470,0.00019865)
('水站', 18,0.00000761)
('黄焖鸡米饭', 38473,0.01626100)
('面馆', 36190,0.01529606)
('韩国料理', 11226,0.00474478)
('粤菜', 6663,0.00281618)
('其他菜系', 4576,0.00193409)
('海鲜', 4765,0.00201397)
('烤鱼', 4498,0.00190112)
('意面', 38,0.00001606)
('鱼火锅', 937,0.00039603)
('冰淇淋', 60,0.00002536)
('汉堡薯条', 92557,0.03912014)
('果切', 2133,0.00090153)
('炒饭', 72851,0.03079120)
('烤鸭熟食', 46396,0.01960973)
('其他西餐', 7117,0.00300807)
('干锅', 15711,0.00664041)
('日式简餐', 981,0.00041463)
('鸡公煲', 16713,0.00706392)
('烤肉拌饭', 37688,0.01592921)
('盖浇饭', 148052,0.06257566)
('烧腊饭', 11118,0.00469913)
('中西糕点', 5905,0.00249581)
('鲜花', 2106,0.00089012)
('馄饨抄手', 12014,0.00507784)
('酸辣粉', 2287,0.00096662)
('韩式简餐', 10855,0.00458797)
('川渝火锅', 11954,0.00505248)
('盐帮菜', 1834,0.00077516)
('羊肉汤', 906,0.00038293)
('炸鸡炸串', 76019,0.03213019)
('粥店', 84260,0.03561333)
('饺子', 16741,0.00707575)
('木桶饭', 2320,0.00098057)
('兰州拉面', 7617,0.00321940)
('砂锅', 5401,0.00228279)
('小龙虾', 8203,0.00346708)
('私房菜', 941,0.00039772)
('豆浆油条', 535,0.00022612)
('串串香', 218,0.00009214)
('水果店', 51676,0.02184138)
('麻辣香锅', 19959,0.00843587)
('蛋糕', 21907,0.00925921)
('沙县小吃', 13370,0.00565096)
('西北菜', 2784,0.00117669)
('重庆小面', 4201,0.00177559)
('烧饼', 1032,0.00043619)
('美妆个护', 330,0.00013948)
('咖啡', 9157,0.00387030)
('粉丝汤', 3510,0.00148354)
('包子汤包', 17175,0.00725919)
('卤味鸭脖', 21416,0.00905169)
('水果捞', 1884,0.00079629)
('烧烤', 23814,0.01006522)
('其他香锅火锅', 6604,0.00279125)
('小火锅', 1144,0.00048352)
('其他快餐', 250783,0.10599594)
('其他小吃', 57808,0.02443313)
('生煎', 3754,0.00158667)
('凉皮', 4261,0.00180095)
('卤煮火烧', 191,0.00008073)
('休闲零食', 117,0.00004945)
('牛排', 163,0.00006889)
('其他甜品饮品', 39,0.00001648)
('奶茶果汁', 53524,0.02262245)
('社区生鲜店', 9925,0.00419490)
('茶餐厅', 9720,0.00410826)
('肉夹馍', 2742,0.00115893)
('面包', 1294,0.00054692)
('名酒坊', 694,0.00029333)
('海鲜水产', 2117,0.00089477)
('蒸鸡滋补鸡', 3272,0.00138294)
('螺蛳粉', 4077,0.00172318)
('日用百货', 39,0.00001648)
('麻辣烫', 37423,0.01581720)
('披萨', 24422,0.01032220)
('咖喱饭', 5065,0.00214077)
('刺身寿司', 10891,0.00460319)
('甜品', 13017,0.00550177)
('本帮菜', 714,0.00030178)
('大型超市', 25988,0.01098409)
('便利店', 21217,0.00896758)
('滋补炖汤', 2014,0.00085124)
('韩式烤肉', 45,0.00001902)
