('肠粉', 50904,0.02240888)
('葱油饼', 202,0.00008892)
('煎饼', 3430,0.00150995)
('沙拉', 48820,0.02149147)
('冒菜', 4863,0.00214078)
('江浙菜', 2822,0.00124230)
('台湾菜', 3762,0.00165610)
('药店', 2450,0.00107854)
('川湘菜', 205648,0.09053006)
('米粉米线', 71877,0.03164159)
('煲仔饭', 61361,0.02701225)
('东北菜', 2750,0.00121060)
('日本料理', 9277,0.00408391)
('热干面', 2024,0.00089100)
('韩国炸鸡', 9697,0.00426880)
('锅贴', 8340,0.00367142)
('牛肉汤', 674,0.00029671)
('粤菜', 32265,0.01420365)
('其他菜系', 7855,0.00345792)
('面馆', 18147,0.00798865)
('鱼火锅', 1895,0.00083421)
('韩国料理', 3761,0.00165566)
('海鲜', 914,0.00040236)
('黄焖鸡米饭', 35482,0.01561983)
('意面', 96,0.00004226)
('烤鱼', 40,0.00001761)
('汉堡薯条', 74104,0.03262195)
('炒饭', 40889,0.01800010)
('三明治', 1164,0.00051241)
('其他西餐', 7351,0.00323605)
('果切', 2340,0.00103011)
('烤鸭熟食', 3296,0.00145096)
('日式简餐', 3283,0.00144524)
('盖浇饭', 194925,0.08580960)
('鲁菜', 10430,0.00459148)
('烤肉拌饭', 11662,0.00513383)
('烧腊饭', 48355,0.02128677)
('鸡公煲', 13496,0.00594119)
('北京炸酱面', 95,0.00004182)
('中西糕点', 426,0.00018753)
('馄饨抄手', 18154,0.00799173)
('韩式简餐', 9764,0.00429829)
('鲜花', 1344,0.00059165)
('酸辣粉', 482,0.00021219)
('羊肉汤', 77,0.00003390)
('粥店', 114177,0.05026283)
('饺子', 45125,0.01986486)
('木桶饭', 48833,0.02149719)
('炸鸡炸串', 50402,0.02218789)
('豆浆油条', 2608,0.00114809)
('兰州拉面', 3076,0.00135411)
('章鱼小丸子', 336,0.00014791)
('小龙虾', 1899,0.00083598)
('砂锅', 466,0.00020514)
('泰国菜', 10,0.00000440)
('串串香', 79,0.00003478)
('私房菜', 131,0.00005767)
('水果店', 20528,0.00903681)
('瓦罐汤', 13740,0.00604860)
('麻辣香锅', 51592,0.02271176)
('西北菜', 2680,0.00117979)
('重庆小面', 1828,0.00080472)
('沙县小吃', 9895,0.00435596)
('蛋糕', 10281,0.00452589)
('肉禽蛋品', 101,0.00004446)
('美妆个护', 142,0.00006251)
('奶站', 1,0.00000044)
('牛肉火锅', 415,0.00018269)
('包子汤包', 14282,0.00628720)
('其他香锅火锅', 44077,0.01940351)
('粉丝汤', 4986,0.00219493)
('烧烤', 19695,0.00867010)
('卤味鸭脖', 1535,0.00067574)
('咖啡', 1150,0.00050625)
('脆皮鸡饭', 12063,0.00531036)
('水果捞', 137,0.00006031)
('小火锅', 194,0.00008540)
('其他快餐', 301297,0.13263653)
('生煎', 518,0.00022803)
('其他小吃', 13477,0.00593283)
('凉皮', 9909,0.00436213)
('焗饭', 16691,0.00734769)
('牛排', 190,0.00008364)
('休闲零食', 153,0.00006735)
('胡辣汤', 467,0.00020558)
('绿植', 51,0.00002245)
('其他甜品饮品', 69,0.00003038)
('奶茶果汁', 99779,0.04392457)
('肉夹馍', 9828,0.00432647)
('茶餐厅', 48889,0.02152184)
('排骨饭', 9516,0.00418912)
('面包', 1023,0.00045034)
('螺蛳粉', 5227,0.00230102)
('社区生鲜店', 2096,0.00092270)
('名酒坊', 147,0.00006471)
('蒸鸡滋补鸡', 410,0.00018049)
('牛肉饭', 98,0.00004314)
('日用百货', 36,0.00001585)
('滋补炖汤', 10184,0.00448319)
('麻辣烫', 110024,0.04843460)
('披萨', 12607,0.00554984)
('刺身寿司', 34940,0.01538124)
('甜品', 43016,0.01893644)
('便利店', 9222,0.00405970)
('大型超市', 11067,0.00487190)
('咖喱饭', 1354,0.00059606)
('韩式烤肉', 6432,0.00283149)
('花甲', 5425,0.00238819)
