('沙拉', 30826,0.01475612)
('煎饼', 26850,0.01285284)
('冒菜', 18193,0.00870882)
('肠粉', 1840,0.00088079)
('江浙菜', 5318,0.00254568)
('药店', 1064,0.00050933)
('羊杂割', 16,0.00000766)
('川湘菜', 68913,0.03298801)
('东北菜', 141198,0.06759016)
('日本料理', 8431,0.00403584)
('韩国炸鸡', 7906,0.00378453)
('煲仔饭', 10511,0.00503152)
('米粉米线', 55404,0.02652137)
('鸡架', 10157,0.00486206)
('钵钵鸡', 58,0.00002776)
('新疆菜', 1416,0.00067783)
('创意菜', 586,0.00028051)
('牛肉汤', 279,0.00013355)
('黄焖鸡米饭', 21548,0.01031483)
('粤菜', 7313,0.00350066)
('韩国料理', 6119,0.00292911)
('面馆', 46748,0.02237783)
('中亚/中东菜', 403,0.00019291)
('其他菜系', 11669,0.00558584)
('海鲜', 13068,0.00625553)
('成人用品', 115,0.00005505)
('日式简餐', 7897,0.00378022)
('炒饭', 40367,0.01932330)
('干锅', 1308,0.00062613)
('汉堡薯条', 77498,0.03709756)
('其他西餐', 21052,0.01007739)
('三明治', 2350,0.00112492)
('烤鸭熟食', 4226,0.00202295)
('冰淇淋', 507,0.00024270)
('果切', 4198,0.00200954)
('盖浇饭', 89688,0.04293280)
('烤肉拌饭', 48375,0.02315666)
('鸡公煲', 5143,0.00246191)
('北京炸酱面', 773,0.00037003)
('鲁菜', 3043,0.00145666)
('中西糕点', 1178,0.00056390)
('火锅烤串食材', 645,0.00030876)
('烧腊饭', 878,0.00042029)
('韩式简餐', 27022,0.01293518)
('馄饨抄手', 6712,0.00321297)
('鲜花', 1661,0.00079511)
('酸辣粉', 1719,0.00082287)
('清真菜', 44,0.00002106)
('川渝火锅', 1202,0.00057539)
('羊肉汤', 108,0.00005170)
('砂锅', 7920,0.00379123)
('炸鸡炸串', 105631,0.05056457)
('粥店', 93085,0.04455892)
('饺子', 19821,0.00948813)
('串串香', 1019,0.00048779)
('私房菜', 23249,0.01112908)
('小龙虾', 9015,0.00431540)
('兰州拉面', 263,0.00012590)
('豆浆油条', 2604,0.00124651)
('烧饼', 4717,0.00225798)
('重庆小面', 691,0.00033078)
('麻辣香锅', 13921,0.00666385)
('沙县小吃', 2187,0.00104690)
('水果店', 18352,0.00878493)
('蛋糕', 6410,0.00306841)
('美妆个护', 270,0.00012925)
('驴肉火烧', 401,0.00019195)
('肉禽蛋品', 1193,0.00057108)
('奶站', 21,0.00001005)
('西北菜', 62,0.00002968)
('脆皮鸡饭', 45736,0.02189339)
('烧烤', 36876,0.01765219)
('包子汤包', 22760,0.01089500)
('卤味鸭脖', 5070,0.00242696)
('咖啡', 2808,0.00134416)
('水果捞', 32590,0.01560053)
('粉丝汤', 4501,0.00215459)
('其他香锅火锅', 9556,0.00457437)
('小火锅', 477,0.00022834)
('其他快餐', 404062,0.19342068)
('焗饭', 5010,0.00239824)
('其他小吃', 25784,0.01234256)
('凉皮', 7029,0.00336472)
('牛排', 4378,0.00209571)
('素食', 1798,0.00086069)
('休闲零食', 2756,0.00131927)
('生煎', 750,0.00035902)
('其他甜品饮品', 1301,0.00062278)
('绿植', 125,0.00005984)
('奶茶果汁', 41010,0.01963110)
('牛肉饭', 8645,0.00413828)
('排骨饭', 16911,0.00809514)
('焖锅', 2580,0.00123502)
('螺蛳粉', 2111,0.00101052)
('烤冷面', 3244,0.00155287)
('蒸鸡滋补鸡', 563,0.00026950)
('肉夹馍', 2754,0.00131831)
('面包', 1716,0.00082143)
('社区生鲜店', 2056,0.00098419)
('名酒坊', 611,0.00029248)
('茶餐厅', 239,0.00011441)
('甜品', 60291,0.02886074)
('麻辣烫', 75961,0.03636182)
('刺身寿司', 16923,0.00810088)
('披萨', 10456,0.00500519)
('咖喱饭', 1961,0.00093871)
('滋补炖汤', 4215,0.00201768)
('大型超市', 31450,0.01505482)
('便利店', 35434,0.01696192)
('本帮菜', 338,0.00016180)
('花甲', 1815,0.00086882)
('韩式烤肉', 6,0.00000287)
