('冒菜', 11,0.00465707)
('煎饼', 20,0.00846740)
('沙拉', 29,0.01227773)
('肠粉', 4,0.00169348)
('江浙菜', 19,0.00804403)
('羊杂割', 4,0.00169348)
('药店', 15,0.00635055)
('葱油饼', 1,0.00042337)
('台湾菜', 1,0.00042337)
('徽菜', 2,0.00084674)
('淮扬菜', 1,0.00042337)
('川湘菜', 115,0.04868755)
('韩国炸鸡', 13,0.00550381)
('鸡架', 8,0.00338696)
('米粉米线', 58,0.02455546)
('锅贴', 3,0.00127011)
('牛肉汤', 6,0.00254022)
('东北菜', 46,0.01947502)
('创意菜', 5,0.00211685)
('日本料理', 10,0.00423370)
('新疆菜', 15,0.00635055)
('西班牙菜', 1,0.00042337)
('羊蝎子', 3,0.00127011)
('煲仔饭', 4,0.00169348)
('热干面', 2,0.00084674)
('水站', 8,0.00338696)
('钵钵鸡', 2,0.00084674)
('韩国料理', 8,0.00338696)
('黄焖鸡米饭', 22,0.00931414)
('面馆', 67,0.02836579)
('烤鱼', 5,0.00211685)
('粤菜', 30,0.01270110)
('其他菜系', 29,0.01227773)
('海鲜', 22,0.00931414)
('意面', 1,0.00042337)
('中亚/中东菜', 1,0.00042337)
('日式简餐', 12,0.00508044)
('汉堡薯条', 53,0.02243861)
('炒饭', 30,0.01270110)
('其他西餐', 32,0.01354784)
('干锅', 1,0.00042337)
('果切', 11,0.00465707)
('烤鸭熟食', 4,0.00169348)
('江西菜', 6,0.00254022)
('冰淇淋', 1,0.00042337)
('三明治', 1,0.00042337)
('盖浇饭', 105,0.04445385)
('烤肉拌饭', 15,0.00635055)
('鸡公煲', 5,0.00211685)
('烧腊饭', 4,0.00169348)
('中西糕点', 2,0.00084674)
('鲁菜', 9,0.00381033)
('韩式简餐', 23,0.00973751)
('鲜花', 16,0.00677392)
('馄饨抄手', 7,0.00296359)
('酸辣粉', 2,0.00084674)
('清真菜', 2,0.00084674)
('越南菜', 1,0.00042337)
('羊肉汤', 3,0.00127011)
('炸鸡炸串', 58,0.02455546)
('粥店', 53,0.02243861)
('串串香', 5,0.00211685)
('饺子', 34,0.01439458)
('木桶饭', 3,0.00127011)
('砂锅', 3,0.00127011)
('豆浆油条', 2,0.00084674)
('兰州拉面', 8,0.00338696)
('小龙虾', 22,0.00931414)
('泰国菜', 4,0.00169348)
('私房菜', 3,0.00127011)
('章鱼小丸子', 1,0.00042337)
('麻辣香锅', 27,0.01143099)
('沙县小吃', 8,0.00338696)
('烧饼', 8,0.00338696)
('重庆小面', 4,0.00169348)
('云南菜', 22,0.00931414)
('西北菜', 10,0.00423370)
('陕西菜', 2,0.00084674)
('驴肉火烧', 10,0.00423370)
('蛋糕', 33,0.01397121)
('水果店', 66,0.02794242)
('美妆个护', 4,0.00169348)
('河南菜', 2,0.00084674)
('瓦罐汤', 1,0.00042337)
('粉丝汤', 6,0.00254022)
('烧烤', 93,0.03937341)
('包子汤包', 19,0.00804403)
('小火锅', 10,0.00423370)
('其他香锅火锅', 19,0.00804403)
('咖啡', 10,0.00423370)
('卤味鸭脖', 19,0.00804403)
('水果捞', 2,0.00084674)
('焗饭', 1,0.00042337)
('其他快餐', 257,0.10880610)
('生煎', 12,0.00508044)
('凉皮', 9,0.00381033)
('其他小吃', 39,0.01651143)
('素食', 1,0.00042337)
('牛排', 2,0.00084674)
('其他甜品饮品', 2,0.00084674)
('休闲零食', 4,0.00169348)
('绿植', 4,0.00169348)
('胡辣汤', 1,0.00042337)
('卤煮火烧', 2,0.00084674)
('意大利菜', 1,0.00042337)
('奶茶果汁', 62,0.02624894)
('螺蛳粉', 4,0.00169348)
('肉夹馍', 11,0.00465707)
('烤冷面', 3,0.00127011)
('新加坡菜', 2,0.00084674)
('牛肉饭', 2,0.00084674)
('排骨饭', 11,0.00465707)
('茶餐厅', 2,0.00084674)
('贵州菜', 2,0.00084674)
('面包', 7,0.00296359)
('社区生鲜店', 24,0.01016088)
('日用百货', 1,0.00042337)
('海鲜水产', 19,0.00804403)
('蒸鸡滋补鸡', 2,0.00084674)
('焖锅', 1,0.00042337)
('名酒坊', 2,0.00084674)
('麻辣烫', 54,0.02286198)
('披萨', 30,0.01270110)
('北京菜', 35,0.01481795)
('花甲', 7,0.00296359)
('韩式烤肉', 6,0.00254022)
('咖喱饭', 2,0.00084674)
('甜品', 29,0.01227773)
('大型超市', 119,0.05038103)
('便利店', 70,0.02963590)
('刺身寿司', 9,0.00381033)
('滋补炖汤', 4,0.00169348)
