('冒菜', 77,0.03707270)
('沙拉', 35,0.01685123)
('江浙菜', 6,0.00288878)
('煎饼', 9,0.00433317)
('葱油饼', 1,0.00048146)
('肠粉', 8,0.00385171)
('药店', 20,0.00962927)
('川湘菜', 256,0.12325469)
('米粉米线', 92,0.04429466)
('韩国炸鸡', 17,0.00818488)
('新疆菜', 7,0.00337025)
('老妈兔头', 2,0.00096293)
('鸡架', 3,0.00144439)
('钵钵鸡', 8,0.00385171)
('煲仔饭', 6,0.00288878)
('牛肉汤', 4,0.00192585)
('东北菜', 1,0.00048146)
('日本料理', 3,0.00144439)
('水站', 1,0.00048146)
('黄焖鸡米饭', 23,0.01107366)
('面馆', 40,0.01925855)
('韩国料理', 6,0.00288878)
('粤菜', 6,0.00288878)
('其他菜系', 7,0.00337025)
('海鲜', 10,0.00481464)
('烤鱼', 4,0.00192585)
('意面', 1,0.00048146)
('鱼火锅', 1,0.00048146)
('冰淇淋', 2,0.00096293)
('汉堡薯条', 49,0.02359172)
('果切', 3,0.00144439)
('炒饭', 35,0.01685123)
('烤鸭熟食', 33,0.01588830)
('其他西餐', 8,0.00385171)
('干锅', 12,0.00577756)
('日式简餐', 1,0.00048146)
('鸡公煲', 7,0.00337025)
('烤肉拌饭', 14,0.00674049)
('盖浇饭', 80,0.03851709)
('烧腊饭', 7,0.00337025)
('中西糕点', 9,0.00433317)
('鲜花', 31,0.01492537)
('馄饨抄手', 13,0.00625903)
('酸辣粉', 6,0.00288878)
('韩式简餐', 5,0.00240732)
('川渝火锅', 11,0.00529610)
('盐帮菜', 3,0.00144439)
('羊肉汤', 1,0.00048146)
('炸鸡炸串', 58,0.02792489)
('粥店', 34,0.01636976)
('饺子', 30,0.01444391)
('木桶饭', 2,0.00096293)
('兰州拉面', 14,0.00674049)
('砂锅', 5,0.00240732)
('小龙虾', 29,0.01396245)
('私房菜', 5,0.00240732)
('豆浆油条', 1,0.00048146)
('串串香', 4,0.00192585)
('水果店', 68,0.03273953)
('麻辣香锅', 11,0.00529610)
('蛋糕', 49,0.02359172)
('沙县小吃', 5,0.00240732)
('西北菜', 4,0.00192585)
('重庆小面', 6,0.00288878)
('烧饼', 3,0.00144439)
('美妆个护', 2,0.00096293)
('咖啡', 18,0.00866635)
('粉丝汤', 2,0.00096293)
('包子汤包', 17,0.00818488)
('卤味鸭脖', 43,0.02070294)
('水果捞', 5,0.00240732)
('烧烤', 27,0.01299952)
('其他香锅火锅', 9,0.00433317)
('小火锅', 2,0.00096293)
('其他快餐', 198,0.09532980)
('其他小吃', 71,0.03418392)
('生煎', 3,0.00144439)
('凉皮', 8,0.00385171)
('卤煮火烧', 1,0.00048146)
('休闲零食', 2,0.00096293)
('牛排', 1,0.00048146)
('其他甜品饮品', 1,0.00048146)
('奶茶果汁', 92,0.04429466)
('社区生鲜店', 32,0.01540684)
('茶餐厅', 5,0.00240732)
('肉夹馍', 8,0.00385171)
('面包', 7,0.00337025)
('名酒坊', 7,0.00337025)
('海鲜水产', 5,0.00240732)
('蒸鸡滋补鸡', 4,0.00192585)
('螺蛳粉', 4,0.00192585)
('日用百货', 1,0.00048146)
('麻辣烫', 15,0.00722195)
('披萨', 28,0.01348098)
('咖喱饭', 3,0.00144439)
('刺身寿司', 13,0.00625903)
('甜品', 34,0.01636976)
('本帮菜', 1,0.00048146)
('大型超市', 37,0.01781416)
('便利店', 55,0.02648050)
('滋补炖汤', 3,0.00144439)
('韩式烤肉', 1,0.00048146)
