('肠粉', 43,0.02101662)
('葱油饼', 2,0.00097752)
('煎饼', 6,0.00293255)
('沙拉', 30,0.01466276)
('冒菜', 6,0.00293255)
('江浙菜', 5,0.00244379)
('台湾菜', 2,0.00097752)
('药店', 13,0.00635386)
('川湘菜', 131,0.06402737)
('米粉米线', 73,0.03567937)
('煲仔饭', 33,0.01612903)
('东北菜', 2,0.00097752)
('日本料理', 10,0.00488759)
('热干面', 5,0.00244379)
('韩国炸鸡', 9,0.00439883)
('锅贴', 3,0.00146628)
('牛肉汤', 2,0.00097752)
('粤菜', 58,0.02834800)
('其他菜系', 10,0.00488759)
('面馆', 43,0.02101662)
('鱼火锅', 1,0.00048876)
('韩国料理', 6,0.00293255)
('海鲜', 4,0.00195503)
('黄焖鸡米饭', 16,0.00782014)
('意面', 2,0.00097752)
('烤鱼', 1,0.00048876)
('汉堡薯条', 45,0.02199413)
('炒饭', 16,0.00782014)
('三明治', 3,0.00146628)
('其他西餐', 9,0.00439883)
('果切', 5,0.00244379)
('烤鸭熟食', 4,0.00195503)
('日式简餐', 3,0.00146628)
('盖浇饭', 84,0.04105572)
('鲁菜', 2,0.00097752)
('烤肉拌饭', 7,0.00342131)
('烧腊饭', 52,0.02541544)
('鸡公煲', 7,0.00342131)
('北京炸酱面', 2,0.00097752)
('中西糕点', 3,0.00146628)
('馄饨抄手', 20,0.00977517)
('韩式简餐', 6,0.00293255)
('鲜花', 38,0.01857283)
('酸辣粉', 1,0.00048876)
('羊肉汤', 1,0.00048876)
('粥店', 38,0.01857283)
('饺子', 35,0.01710655)
('木桶饭', 32,0.01564027)
('炸鸡炸串', 32,0.01564027)
('豆浆油条', 4,0.00195503)
('兰州拉面', 11,0.00537634)
('章鱼小丸子', 5,0.00244379)
('小龙虾', 11,0.00537634)
('砂锅', 2,0.00097752)
('泰国菜', 1,0.00048876)
('串串香', 1,0.00048876)
('私房菜', 3,0.00146628)
('水果店', 53,0.02590420)
('瓦罐汤', 8,0.00391007)
('麻辣香锅', 20,0.00977517)
('西北菜', 4,0.00195503)
('重庆小面', 5,0.00244379)
('沙县小吃', 11,0.00537634)
('蛋糕', 19,0.00928641)
('肉禽蛋品', 5,0.00244379)
('美妆个护', 4,0.00195503)
('奶站', 1,0.00048876)
('牛肉火锅', 3,0.00146628)
('包子汤包', 17,0.00830890)
('其他香锅火锅', 24,0.01173021)
('粉丝汤', 7,0.00342131)
('烧烤', 14,0.00684262)
('卤味鸭脖', 11,0.00537634)
('咖啡', 11,0.00537634)
('脆皮鸡饭', 3,0.00146628)
('水果捞', 1,0.00048876)
('小火锅', 3,0.00146628)
('其他快餐', 352,0.17204301)
('生煎', 4,0.00195503)
('其他小吃', 34,0.01661779)
('凉皮', 5,0.00244379)
('焗饭', 11,0.00537634)
('牛排', 2,0.00097752)
('休闲零食', 2,0.00097752)
('胡辣汤', 1,0.00048876)
('绿植', 1,0.00048876)
('其他甜品饮品', 1,0.00048876)
('奶茶果汁', 118,0.05767351)
('肉夹馍', 7,0.00342131)
('茶餐厅', 35,0.01710655)
('排骨饭', 6,0.00293255)
('面包', 6,0.00293255)
('螺蛳粉', 7,0.00342131)
('社区生鲜店', 17,0.00830890)
('名酒坊', 3,0.00146628)
('蒸鸡滋补鸡', 2,0.00097752)
('牛肉饭', 1,0.00048876)
('日用百货', 1,0.00048876)
('滋补炖汤', 8,0.00391007)
('麻辣烫', 45,0.02199413)
('披萨', 19,0.00928641)
('刺身寿司', 31,0.01515152)
('甜品', 48,0.02346041)
('便利店', 32,0.01564027)
('大型超市', 21,0.01026393)
('咖喱饭', 1,0.00048876)
('韩式烤肉', 1,0.00048876)
('花甲', 1,0.00048876)
