('沙拉', 41,0.01658576)
('煎饼', 25,0.01011327)
('冒菜', 10,0.00404531)
('肠粉', 2,0.00080906)
('江浙菜', 3,0.00121359)
('药店', 16,0.00647249)
('羊杂割', 1,0.00040453)
('川湘菜', 47,0.01901294)
('东北菜', 129,0.05218447)
('日本料理', 14,0.00566343)
('韩国炸鸡', 10,0.00404531)
('煲仔饭', 10,0.00404531)
('米粉米线', 64,0.02588997)
('鸡架', 21,0.00849515)
('钵钵鸡', 1,0.00040453)
('新疆菜', 3,0.00121359)
('创意菜', 2,0.00080906)
('牛肉汤', 1,0.00040453)
('黄焖鸡米饭', 26,0.01051780)
('粤菜', 8,0.00323625)
('韩国料理', 6,0.00242718)
('面馆', 70,0.02831715)
('中亚/中东菜', 1,0.00040453)
('其他菜系', 14,0.00566343)
('海鲜', 23,0.00930421)
('成人用品', 1,0.00040453)
('日式简餐', 16,0.00647249)
('炒饭', 37,0.01496764)
('干锅', 2,0.00080906)
('汉堡薯条', 62,0.02508091)
('其他西餐', 27,0.01092233)
('三明治', 2,0.00080906)
('烤鸭熟食', 17,0.00687702)
('冰淇淋', 3,0.00121359)
('果切', 2,0.00080906)
('盖浇饭', 99,0.04004854)
('烤肉拌饭', 49,0.01982201)
('鸡公煲', 11,0.00444984)
('北京炸酱面', 1,0.00040453)
('鲁菜', 1,0.00040453)
('中西糕点', 2,0.00080906)
('火锅烤串食材', 6,0.00242718)
('烧腊饭', 2,0.00080906)
('韩式简餐', 27,0.01092233)
('馄饨抄手', 13,0.00525890)
('鲜花', 32,0.01294498)
('酸辣粉', 2,0.00080906)
('清真菜', 1,0.00040453)
('川渝火锅', 2,0.00080906)
('羊肉汤', 1,0.00040453)
('砂锅', 16,0.00647249)
('炸鸡炸串', 138,0.05582524)
('粥店', 48,0.01941748)
('饺子', 30,0.01213592)
('串串香', 5,0.00202265)
('私房菜', 15,0.00606796)
('小龙虾', 28,0.01132686)
('兰州拉面', 7,0.00283172)
('豆浆油条', 4,0.00161812)
('烧饼', 10,0.00404531)
('重庆小面', 5,0.00202265)
('麻辣香锅', 12,0.00485437)
('沙县小吃', 4,0.00161812)
('水果店', 38,0.01537217)
('蛋糕', 34,0.01375405)
('美妆个护', 3,0.00121359)
('驴肉火烧', 4,0.00161812)
('肉禽蛋品', 3,0.00121359)
('奶站', 2,0.00080906)
('西北菜', 1,0.00040453)
('脆皮鸡饭', 29,0.01173139)
('烧烤', 83,0.03357605)
('包子汤包', 30,0.01213592)
('卤味鸭脖', 29,0.01173139)
('咖啡', 13,0.00525890)
('水果捞', 30,0.01213592)
('粉丝汤', 5,0.00202265)
('其他香锅火锅', 20,0.00809061)
('小火锅', 3,0.00121359)
('其他快餐', 314,0.12702265)
('焗饭', 6,0.00242718)
('其他小吃', 50,0.02022654)
('凉皮', 16,0.00647249)
('牛排', 8,0.00323625)
('素食', 2,0.00080906)
('休闲零食', 8,0.00323625)
('生煎', 3,0.00121359)
('其他甜品饮品', 5,0.00202265)
('绿植', 1,0.00040453)
('奶茶果汁', 87,0.03519417)
('牛肉饭', 10,0.00404531)
('排骨饭', 23,0.00930421)
('焖锅', 2,0.00080906)
('螺蛳粉', 3,0.00121359)
('烤冷面', 3,0.00121359)
('蒸鸡滋补鸡', 1,0.00040453)
('肉夹馍', 6,0.00242718)
('面包', 6,0.00242718)
('社区生鲜店', 10,0.00404531)
('名酒坊', 5,0.00202265)
('茶餐厅', 1,0.00040453)
('甜品', 45,0.01820388)
('麻辣烫', 95,0.03843042)
('刺身寿司', 23,0.00930421)
('披萨', 21,0.00849515)
('咖喱饭', 3,0.00121359)
('滋补炖汤', 5,0.00202265)
('大型超市', 41,0.01658576)
('便利店', 48,0.01941748)
('本帮菜', 1,0.00040453)
('花甲', 3,0.00121359)
('韩式烤肉', 2,0.00080906)
